Correspondence between the short and original species names from:
	/Users/quyen/KaSim/models/CMSB2017_tool_paper/multisite_phos/network_e9_with_fsym.net
s141	: E(s!1).S(p1~P!2,p2~P!3,p3~P!4,p4~U,p5~U!5,p6~U!6,p7~U!7,p8~U!8,p9~U!1).F(s!2).E(s!8).F(s!4).F(s!3).E(s!7).E(s!6).E(s!5)
s142	: E(s!1).S(p1~P,p2~P!2,p3~P!3,p4~U,p5~U,p6~U!4,p7~U!5,p8~U!6,p9~U!1).F(s!2).E(s!6).F(s!3).E(s!5).E(s!4)
s143	: E(s!1).S(p1~P!2,p2~P!3,p3~P!4,p4~U,p5~U,p6~U!5,p7~U!6,p8~U!7,p9~U!1).F(s!2).E(s!7).F(s!4).F(s!3).E(s!6).E(s!5)
s144	: E(s!1).S(p1~P!2,p2~P!3,p3~P!4,p4~U,p5~U,p6~U,p7~U!5,p8~U!6,p9~U!1).F(s!2).E(s!6).F(s!4).F(s!3).E(s!5)
s145	: E(s!1).S(p1~P,p2~P!2,p3~P!3,p4~P!4,p5~U,p6~U!1,p7~U!5,p8~U!6,p9~U!7).F(s!4).E(s!7).F(s!3).F(s!2).E(s!6).E(s!5)
s146	: E(s!1).S(p1~P!2,p2~P!3,p3~P!4,p4~P!5,p5~U,p6~U!6,p7~U!7,p8~U!8,p9~U!1).F(s!2).E(s!8).F(s!5).F(s!4).F(s!3).E(s!7).E(s!6)
s147	: E(s!1).S(p1~P,p2~P!2,p3~P!3,p4~P!4,p5~U!5,p6~U!6,p7~U!7,p8~U!8,p9~U!1).F(s!2).E(s!8).F(s!4).F(s!3).E(s!7).E(s!6).E(s!5)
s148	: E(s!1).S(p1~P,p2~P,p3~P!2,p4~P!3,p5~P!4,p6~U,p7~U!1,p8~U!5,p9~U!6).F(s!4).E(s!6).F(s!3).F(s!2).E(s!5)
s149	: E(s!1).S(p1~P,p2~P!2,p3~P!3,p4~P!4,p5~P!5,p6~U,p7~U!1,p8~U!6,p9~U!7).F(s!5).E(s!7).F(s!4).F(s!3).F(s!2).E(s!6)
s150	: E(s!1).S(p1~P,p2~P,p3~P!2,p4~P!3,p5~P!4,p6~U!5,p7~U!6,p8~U!7,p9~U!1).F(s!2).E(s!7).F(s!4).F(s!3).E(s!6).E(s!5)
s151	: E(s!1).S(p1~P,p2~P!2,p3~P!3,p4~P!4,p5~P!5,p6~U!1,p7~U!6,p8~U!7,p9~U!8).F(s!5).E(s!8).F(s!4).F(s!3).F(s!2).E(s!7).E(s!6)
s152	: E(s!1).S(p1~P!2,p2~P!3,p3~P!4,p4~P!5,p5~P!6,p6~U!7,p7~U!8,p8~U!9,p9~U!1).F(s!2).E(s!9).F(s!6).F(s!5).F(s!4).E(s!8).E(s!7).F(s!3)
s153	: E(s!1).S(p1~P,p2~P,p3~P!2,p4~P!3,p5~P!4,p6~P!5,p7~U!1,p8~U!6,p9~U!7).F(s!5).E(s!7).F(s!4).F(s!3).F(s!2).E(s!6)
